text;category;priority
Почему отменён платёж, если деньги уже ушли?. Когда это наконец исправят? Никто не отвечает в чате поддержки.;Оплата;Высокий
Не могу привязать карту к профилю. Когда это наконец исправят?;Оплата;Высокий
Почему доставка перенесена без предупреждения?. Прошу решить проблему как можно быстрее. Никто не отвечает в чате поддержки.;Доставка;Высокий
При попытке оплаты появляется ошибка. Очень срочно! Очень рассчитывал на ваш сервис.;Оплата;Высокий
Приложение зависает на загрузке. Это уже начинает раздражать.;Техническая ошибка;Средний
После оплаты заказ так и не появился. Очень срочно! Это произошло сегодня около 3:08.;Оплата;Высокий
Курьер не выходит на связь.  Никто не отвечает в чате поддержки.;Доставка;Средний
Почему мне приходят рекламные сообщения ночью?. Это уже начинает раздражать. Никто не отвечает в чате поддержки.;Спам;Низкий
Почему отменён платёж, если деньги уже ушли?. Спасибо заранее. Номер заказа: 232274.;Оплата;Высокий
При попытке оплаты появляется ошибка. Пожалуйста, помогите разобраться. Раньше всё работало нормально.;Оплата;Высокий
Почему мне приходят рекламные сообщения ночью?. Пожалуйста, помогите разобраться. Проблема повторяется уже несколько дней.;Спам;Низкий
При попытке оплаты появляется ошибка. Что вообще происходит?;Оплата;Высокий
Ошибка сервера при входе в приложение. Спасибо заранее. Номер заказа: 249953.;Техническая ошибка;Средний
Доставка задерживается уже второй день. Я крайне недоволен сервисом.;Доставка;Средний
Платёж завис на этапе обработки. Это уже начинает раздражать. Проблема повторяется уже несколько дней.;Оплата;Высокий
Верните деньги за отменённый заказ. Сколько можно ждать? Никто не отвечает в чате поддержки.;Оплата;Высокий
Приложение зависает на загрузке. Пожалуйста, помогите разобраться.;Техническая ошибка;Средний
Курьер опаздывает на час. Я крайне недоволен сервисом. Это произошло сегодня около 20:18.;Доставка;Средний
Сайт открывается очень медленно. Я крайне недоволен сервисом. Раньше всё работало нормально.;Техническая ошибка;Средний
Почему отменён платёж, если деньги уже ушли?. Когда это наконец исправят?;Оплата;Высокий
Ваши уведомления уже надоели. Сколько можно ждать?;Спам;Низкий
Почему мне приходят рекламные сообщения ночью?. Прошу решить проблему как можно быстрее.;Спам;Низкий
Ошибка сервера при входе в приложение. Я крайне недоволен сервисом. Это произошло сегодня около 22:38.;Техническая ошибка;Средний
Списались деньги два раза за один заказ. Я крайне недоволен сервисом. Пишу уже второй раз.;Оплата;Высокий
Верните деньги за отменённый заказ. Прошу решить проблему как можно быстрее. Это произошло сегодня около 3:42.;Оплата;Высокий
Посылка повреждена. Что вообще происходит?;Доставка;Средний
Списались деньги два раза за один заказ.  Очень рассчитывал на ваш сервис.;Оплата;Высокий
Не открывается личный кабинет. Спасибо заранее. Номер заказа: 319840.;Техническая ошибка;Средний
После обновления ничего не работает. Очень срочно! Очень рассчитывал на ваш сервис.;Техническая ошибка;Высокий
Не могу привязать карту к профилю. Это уже начинает раздражать.;Оплата;Высокий
Заказ отмечен как доставленный, но я ничего не получил. Пожалуйста, помогите разобраться.;Доставка;Средний
Экран зависает после нажатия кнопки. Прошу решить проблему как можно быстрее. Номер заказа: 922383.;Техническая ошибка;Высокий
Экран зависает после нажатия кнопки. Прошу решить проблему как можно быстрее.;Техническая ошибка;Высокий
Я не подписывался на эти письма. Что вообще происходит? Номер заказа: 168851.;Спам;Низкий
После обновления ничего не работает. Что вообще происходит? Очень рассчитывал на ваш сервис.;Техническая ошибка;Средний
Заказ до сих пор не доставлен. Когда это наконец исправят? Пишу уже второй раз.;Доставка;Высокий
Почему отменён платёж, если деньги уже ушли?. Пожалуйста, помогите разобраться. Номер заказа: 775098.;Оплата;Высокий
Получаю подозрительные письма якобы от вашей компании. Спасибо заранее. Очень рассчитывал на ваш сервис.;Спам;Низкий
Списались деньги два раза за один заказ. Пожалуйста, помогите разобраться. Пишу уже второй раз.;Оплата;Высокий
Ваши уведомления уже надоели. Прошу решить проблему как можно быстрее. Это произошло сегодня около 17:33.;Спам;Низкий
Постоянно появляется неизвестная ошибка.;Техническая ошибка;Средний
Не получается оплатить через Apple Pay. Когда это наконец исправят?;Оплата;Высокий
Почему мне приходят рекламные сообщения ночью?. Я крайне недоволен сервисом. Пишу уже второй раз.;Спам;Низкий
Курьер приехал не по тому адресу. Очень срочно! С телефона и компьютера результат одинаковый.;Доставка;Высокий
Постоянно получаю ненужные уведомления. Это уже начинает раздражать.;Спам;Низкий
Почему отменён платёж, если деньги уже ушли?.  Это произошло сегодня около 16:43.;Оплата;Высокий
Постоянно появляется неизвестная ошибка. Что вообще происходит? Очень рассчитывал на ваш сервис.;Техническая ошибка;Средний
Не могу отследить заказ. Что вообще происходит? Номер заказа: 207074.;Доставка;Средний
Не приходит код подтверждения. Пожалуйста, помогите разобраться. Очень рассчитывал на ваш сервис.;Техническая ошибка;Средний
Постоянно появляется неизвестная ошибка. Когда это наконец исправят? С телефона и компьютера результат одинаковый.;Техническая ошибка;Высокий
Не получается оплатить через Apple Pay. Очень срочно! С телефона и компьютера результат одинаковый.;Оплата;Высокий
Деньги списали, но подтверждения нет. Что вообще происходит? Очень рассчитывал на ваш сервис.;Оплата;Высокий
При попытке оплаты появляется ошибка. Что вообще происходит? Никто не отвечает в чате поддержки.;Оплата;Высокий
Курьер приехал не по тому адресу. Сколько можно ждать?;Доставка;Высокий
Получаю подозрительные письма якобы от вашей компании. Я крайне недоволен сервисом.;Спам;Низкий
Не открывается личный кабинет. Что вообще происходит? Номер заказа: 810065.;Техническая ошибка;Средний
Экран зависает после нажатия кнопки. Я крайне недоволен сервисом. Раньше всё работало нормально.;Техническая ошибка;Средний
Платёж завис на этапе обработки. Очень срочно!;Оплата;Высокий
Хватит отправлять рекламу. Спасибо заранее. Раньше всё работало нормально.;Спам;Низкий
Курьер приехал не по тому адресу. Я крайне недоволен сервисом.;Доставка;Средний
Уберите мой номер из рассылки. Спасибо заранее. Раньше всё работало нормально.;Спам;Низкий
Списались деньги два раза за один заказ. Я крайне недоволен сервисом. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Мне неинтересны ваши предложения. Пожалуйста, помогите разобраться. Очень рассчитывал на ваш сервис.;Спам;Низкий
Не могу отследить заказ. Я крайне недоволен сервисом. Номер заказа: 735112.;Доставка;Средний
Хватит отправлять рекламу. Я крайне недоволен сервисом. Пишу уже второй раз.;Спам;Низкий
Заказ отмечен как доставленный, но я ничего не получил. Что вообще происходит? С телефона и компьютера результат одинаковый.;Доставка;Средний
Не приходит код подтверждения. Когда это наконец исправят?;Техническая ошибка;Высокий
Экран зависает после нажатия кнопки. Очень срочно! С телефона и компьютера результат одинаковый.;Техническая ошибка;Высокий
Доставка задерживается уже второй день. Прошу решить проблему как можно быстрее. Никто не отвечает в чате поддержки.;Доставка;Высокий
Ошибка сервера при входе в приложение. Пожалуйста, помогите разобраться. Пишу уже второй раз.;Техническая ошибка;Средний
Экран зависает после нажатия кнопки. Очень срочно!;Техническая ошибка;Высокий
Уберите мой номер из рассылки.  Проблема повторяется уже несколько дней.;Спам;Низкий
Заказ отмечен как доставленный, но я ничего не получил. Очень срочно! Проблема повторяется уже несколько дней.;Доставка;Высокий
Ваши уведомления уже надоели.  Раньше всё работало нормально.;Спам;Низкий
После оплаты заказ так и не появился. Когда это наконец исправят?;Оплата;Высокий
Не открывается личный кабинет. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Курьер опаздывает на час. Это уже начинает раздражать. Проблема повторяется уже несколько дней.;Доставка;Средний
Постоянно получаю ненужные уведомления. Это уже начинает раздражать.;Спам;Низкий
Верните деньги за отменённый заказ. Когда это наконец исправят?;Оплата;Высокий
Ошибка сервера при входе в приложение. Прошу решить проблему как можно быстрее. Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
Почему мне приходят рекламные сообщения ночью?.  Проблема повторяется уже несколько дней.;Спам;Низкий
Ошибка сервера при входе в приложение. Когда это наконец исправят? Проблема повторяется уже несколько дней.;Техническая ошибка;Высокий
Не открывается личный кабинет. Сколько можно ждать? Это произошло сегодня около 23:07.;Техническая ошибка;Высокий
Ваше приложение постоянно вылетает при оформлении. Что вообще происходит?;Техническая ошибка;Средний
Я не подписывался на эти письма. Сколько можно ждать?;Спам;Низкий
Уберите мой номер из рассылки. Прошу решить проблему как можно быстрее. Проблема повторяется уже несколько дней.;Спам;Низкий
Ошибка сервера при входе в приложение. Пожалуйста, помогите разобраться.;Техническая ошибка;Средний
Хватит отправлять рекламу. Прошу решить проблему как можно быстрее.;Спам;Низкий
Не могу восстановить пароль. Я крайне недоволен сервисом. Это произошло сегодня около 17:19.;Техническая ошибка;Средний
Оплата не проходит уже третий раз. Прошу решить проблему как можно быстрее. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Не получается оплатить через Apple Pay. Что вообще происходит?;Оплата;Высокий
Почему отменён платёж, если деньги уже ушли?. Я крайне недоволен сервисом.;Оплата;Высокий
Посылка повреждена.  Никто не отвечает в чате поддержки.;Доставка;Средний
Мне неинтересны ваши предложения. Спасибо заранее. Никто не отвечает в чате поддержки.;Спам;Низкий
Постоянно получаю ненужные уведомления. Сколько можно ждать? Очень рассчитывал на ваш сервис.;Спам;Низкий
Заказ отмечен как доставленный, но я ничего не получил. Я крайне недоволен сервисом.;Доставка;Средний
Почему мне приходят рекламные сообщения ночью?. Когда это наконец исправят?;Спам;Низкий
Не открывается личный кабинет.  Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Не получается оплатить через Apple Pay. Я крайне недоволен сервисом. Номер заказа: 800484.;Оплата;Высокий
Экран зависает после нажатия кнопки. Очень срочно! Проблема повторяется уже несколько дней.;Техническая ошибка;Высокий
Не открывается личный кабинет. Прошу решить проблему как можно быстрее.;Техническая ошибка;Высокий
Почему мне приходят рекламные сообщения ночью?. Спасибо заранее. Никто не отвечает в чате поддержки.;Спам;Низкий
Почему отменён платёж, если деньги уже ушли?. Что вообще происходит?;Оплата;Высокий
При попытке оплаты появляется ошибка. Очень срочно!;Оплата;Высокий
Хватит отправлять рекламу. Что вообще происходит?;Спам;Низкий
Не открывается личный кабинет. Что вообще происходит?;Техническая ошибка;Средний
Платёж завис на этапе обработки. Что вообще происходит? Никто не отвечает в чате поддержки.;Оплата;Высокий
Ошибка сервера при входе в приложение. Пожалуйста, помогите разобраться.;Техническая ошибка;Средний
Платёж завис на этапе обработки. Сколько можно ждать? Пишу уже второй раз.;Оплата;Высокий
Не приходит код подтверждения. Спасибо заранее.;Техническая ошибка;Средний
Постоянно появляется неизвестная ошибка.  Раньше всё работало нормально.;Техническая ошибка;Средний
Посылка повреждена. Что вообще происходит? Проблема повторяется уже несколько дней.;Доставка;Средний
После обновления ничего не работает. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Верните деньги за отменённый заказ. Что вообще происходит?;Оплата;Высокий
При попытке оплаты появляется ошибка.;Оплата;Высокий
Верните деньги за отменённый заказ. Спасибо заранее.;Оплата;Высокий
Заказ до сих пор не доставлен. Очень срочно!;Доставка;Высокий
Я не подписывался на эти письма. Что вообще происходит? Никто не отвечает в чате поддержки.;Спам;Низкий
Получаю подозрительные письма якобы от вашей компании. Прошу решить проблему как можно быстрее.;Спам;Низкий
Курьер не выходит на связь.  Это произошло сегодня около 15:33.;Доставка;Средний
Не открывается личный кабинет. Спасибо заранее.;Техническая ошибка;Средний
Доставка задерживается уже второй день. Что вообще происходит?;Доставка;Средний
Курьер опаздывает на час. Когда это наконец исправят?;Доставка;Высокий
Экран зависает после нажатия кнопки. Когда это наконец исправят? Очень рассчитывал на ваш сервис.;Техническая ошибка;Высокий
Ваше приложение постоянно вылетает при оформлении. Это уже начинает раздражать.;Техническая ошибка;Средний
Не открывается личный кабинет. Когда это наконец исправят? Раньше всё работало нормально.;Техническая ошибка;Высокий
Каждый день спамите акциями. Сколько можно ждать?;Спам;Низкий
Доставка задерживается уже второй день. Очень срочно!;Доставка;Высокий
Не приходит код подтверждения. Когда это наконец исправят? Номер заказа: 859419.;Техническая ошибка;Высокий
Приходят странные сообщения от вашего сервиса. Что вообще происходит?;Спам;Низкий
Не могу привязать карту к профилю. Что вообще происходит? Это произошло сегодня около 1:25.;Оплата;Высокий
Оплата не проходит уже третий раз. Я крайне недоволен сервисом.;Оплата;Высокий
Ошибка сервера при входе в приложение. Когда это наконец исправят? Раньше всё работало нормально.;Техническая ошибка;Высокий
Курьер не выходит на связь. Очень срочно!;Доставка;Высокий
Мне неинтересны ваши предложения.;Спам;Низкий
После обновления ничего не работает. Спасибо заранее. Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Оплата не проходит уже третий раз. Что вообще происходит? Раньше всё работало нормально.;Оплата;Высокий
Не открывается личный кабинет. Это уже начинает раздражать.;Техническая ошибка;Средний
Заказ до сих пор не доставлен. Когда это наконец исправят? Никто не отвечает в чате поддержки.;Доставка;Высокий
Постоянно появляется неизвестная ошибка. Прошу решить проблему как можно быстрее. Пишу уже второй раз.;Техническая ошибка;Высокий
Я не подписывался на эти письма. Я крайне недоволен сервисом.;Спам;Низкий
Постоянно появляется неизвестная ошибка. Спасибо заранее. Это произошло сегодня около 1:53.;Техническая ошибка;Средний
Каждый день спамите акциями. Когда это наконец исправят? Номер заказа: 833367.;Спам;Низкий
Не приходит код подтверждения. Очень срочно! Пишу уже второй раз.;Техническая ошибка;Высокий
Не получается оплатить через Apple Pay. Пожалуйста, помогите разобраться.;Оплата;Высокий
После оплаты заказ так и не появился. Спасибо заранее.;Оплата;Высокий
Приходят странные сообщения от вашего сервиса. Это уже начинает раздражать. Пишу уже второй раз.;Спам;Низкий
Мне привезли чужой заказ.;Доставка;Средний
Ошибка сервера при входе в приложение. Что вообще происходит? Раньше всё работало нормально.;Техническая ошибка;Средний
Я не подписывался на эти письма. Спасибо заранее. Пишу уже второй раз.;Спам;Низкий
Платёж завис на этапе обработки. Это уже начинает раздражать. Очень рассчитывал на ваш сервис.;Оплата;Высокий
Уберите мой номер из рассылки. Прошу решить проблему как можно быстрее. Пишу уже второй раз.;Спам;Низкий
Не приходит код подтверждения. Спасибо заранее. Номер заказа: 358971.;Техническая ошибка;Средний
Приходят странные сообщения от вашего сервиса. Спасибо заранее.;Спам;Низкий
После оплаты заказ так и не появился. Когда это наконец исправят? С телефона и компьютера результат одинаковый.;Оплата;Высокий
Ошибка сервера при входе в приложение. Очень срочно! Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
Заказ до сих пор не доставлен. Спасибо заранее. С телефона и компьютера результат одинаковый.;Доставка;Средний
После оплаты заказ так и не появился. Сколько можно ждать?;Оплата;Высокий
Не могу восстановить пароль. Спасибо заранее. Номер заказа: 410570.;Техническая ошибка;Средний
Не могу восстановить пароль. Когда это наконец исправят? Проблема повторяется уже несколько дней.;Техническая ошибка;Высокий
Почему отменён платёж, если деньги уже ушли?. Что вообще происходит?;Оплата;Высокий
После обновления ничего не работает. Очень срочно! Номер заказа: 923155.;Техническая ошибка;Высокий
Почему отменён платёж, если деньги уже ушли?. Что вообще происходит?;Оплата;Высокий
Почему доставка перенесена без предупреждения?. Спасибо заранее.;Доставка;Средний
Верните деньги за отменённый заказ. Прошу решить проблему как можно быстрее. Никто не отвечает в чате поддержки.;Оплата;Высокий
Платёж завис на этапе обработки. Очень срочно! Номер заказа: 406443.;Оплата;Высокий
Не приходит код подтверждения.  Пишу уже второй раз.;Техническая ошибка;Средний
Почему отменён платёж, если деньги уже ушли?.  Раньше всё работало нормально.;Оплата;Высокий
Почему отменён платёж, если деньги уже ушли?. Прошу решить проблему как можно быстрее. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Ошибка сервера при входе в приложение. Спасибо заранее. Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Ошибка сервера при входе в приложение. Пожалуйста, помогите разобраться. Раньше всё работало нормально.;Техническая ошибка;Средний
Доставка задерживается уже второй день. Прошу решить проблему как можно быстрее.;Доставка;Высокий
Сайт открывается очень медленно. Это уже начинает раздражать. Это произошло сегодня около 8:27.;Техническая ошибка;Средний
Доставка задерживается уже второй день. Спасибо заранее.;Доставка;Средний
Заказ отмечен как доставленный, но я ничего не получил. Прошу решить проблему как можно быстрее.;Доставка;Высокий
Постоянно получаю ненужные уведомления. Очень срочно!;Спам;Низкий
При попытке оплаты появляется ошибка. Когда это наконец исправят?;Оплата;Высокий
Деньги списали, но подтверждения нет. Очень срочно!;Оплата;Высокий
Экран зависает после нажатия кнопки. Я крайне недоволен сервисом. Пишу уже второй раз.;Техническая ошибка;Средний
Постоянно появляется неизвестная ошибка. Что вообще происходит?;Техническая ошибка;Средний
После оплаты заказ так и не появился. Прошу решить проблему как можно быстрее. Номер заказа: 131202.;Оплата;Высокий
После оплаты заказ так и не появился. Это уже начинает раздражать. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Оплата не проходит уже третий раз. Прошу решить проблему как можно быстрее. Пишу уже второй раз.;Оплата;Высокий
Постоянно появляется неизвестная ошибка. Когда это наконец исправят?;Техническая ошибка;Высокий
Каждый день спамите акциями. Когда это наконец исправят? С телефона и компьютера результат одинаковый.;Спам;Низкий
Посылка повреждена. Сколько можно ждать?;Доставка;Высокий
Постоянно получаю ненужные уведомления. Я крайне недоволен сервисом.;Спам;Низкий
Курьер не выходит на связь. Я крайне недоволен сервисом.;Доставка;Средний
Списались деньги два раза за один заказ.  Никто не отвечает в чате поддержки.;Оплата;Высокий
Не могу восстановить пароль. Прошу решить проблему как можно быстрее.;Техническая ошибка;Высокий
Не приходит код подтверждения. Что вообще происходит?;Техническая ошибка;Средний
Приходят странные сообщения от вашего сервиса. Что вообще происходит? Это произошло сегодня около 18:39.;Спам;Низкий
Постоянно появляется неизвестная ошибка. Прошу решить проблему как можно быстрее.;Техническая ошибка;Высокий
После оплаты заказ так и не появился. Прошу решить проблему как можно быстрее. Проблема повторяется уже несколько дней.;Оплата;Высокий
Заказ до сих пор не доставлен. Когда это наконец исправят? Очень рассчитывал на ваш сервис.;Доставка;Высокий
Постоянно получаю ненужные уведомления. Сколько можно ждать?;Спам;Низкий
Почему отменён платёж, если деньги уже ушли?. Сколько можно ждать? Номер заказа: 148551.;Оплата;Высокий
После обновления ничего не работает. Когда это наконец исправят? Раньше всё работало нормально.;Техническая ошибка;Высокий
Приходят странные сообщения от вашего сервиса. Очень срочно! Раньше всё работало нормально.;Спам;Низкий
После оплаты заказ так и не появился.;Оплата;Высокий
Не могу привязать карту к профилю. Сколько можно ждать?;Оплата;Высокий
Почему доставка перенесена без предупреждения?. Что вообще происходит?;Доставка;Средний
Почему мне приходят рекламные сообщения ночью?. Пожалуйста, помогите разобраться. Очень рассчитывал на ваш сервис.;Спам;Низкий
Постоянно появляется неизвестная ошибка. Это уже начинает раздражать.;Техническая ошибка;Средний
